2024-11-27 09:25:31 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 09:23:05 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:23:09 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:23:16 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:24:08 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:24:37 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:24:38 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:24:40 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:24:48 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:27:31 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:28:11 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:28:12 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:29:17 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 09:29:17 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:37:23 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:37:28 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:37:30 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:37:31 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:37:32 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:43:44 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 09:43:45 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:44:02 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:44:36 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:46:19 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:53:50 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 09:57:43 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 09:57:43 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 09:57:46 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 10:04:53 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 10:05:07 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 10:05:08 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 10:05:09 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 10:38:31 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 10:38:31 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 10:38:34 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 10:38:35 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 10:44:20 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 10:44:21 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 10:44:35 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 10:50:23 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 10:50:24 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 10:50:29 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 10:52:58 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 02:54:38 | User ID:  | Operation: Access | Details: User accessed the database file
2024-11-28 10:56:54 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 10:56:54 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 10:56:56 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 10:59:45 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 10:59:45 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 10:59:46 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:00:07 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:00:52 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:00:59 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:02:51 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:03:42 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:04:17 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:04:57 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:05:22 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 11:05:22 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:05:24 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:05:35 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:06:44 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 11:06:44 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:06:52 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:07:01 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:07:02 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:18:21 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 11:18:21 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:29:03 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 11:29:03 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:29:04 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:29:06 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:29:14 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:29:18 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:29:19 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:29:20 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:29:21 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:30:11 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:34:15 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:34:27 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 11:34:28 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:34:29 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:34:30 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:35:32 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:35:43 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:36:30 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 11:36:30 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:36:31 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:36:33 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:42:42 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:42:50 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:45:37 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:45:38 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:45:39 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 11:45:40 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 11:45:44 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:05:09 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 12:05:09 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:05:19 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:05:21 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:05:23 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:05:31 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:05:43 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:05:45 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:05:46 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:05:48 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:05:50 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:05:57 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:06:12 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:06:15 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:06:31 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:06:47 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:06:49 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:06:54 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:07:18 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:07:41 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:08:07 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:08:24 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:08:27 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:11:07 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:11:12 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:11:24 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:11:31 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:11:33 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:11:35 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:11:46 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:11:54 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:13:00 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:14:16 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:15:55 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:16:01 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:16:03 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:16:04 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:24:41 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 12:24:41 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:24:46 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:24:49 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:24:54 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:24:56 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:25:05 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:26:29 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:26:30 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:26:53 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:30:38 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:30:45 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:30:49 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:30:50 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:31:45 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:31:47 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:31:58 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:32:03 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:32:11 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:33:27 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:33:41 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:46:06 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:46:20 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:48:18 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:49:15 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:49:16 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 12:49:16 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:49:27 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:51:41 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:56:28 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 12:58:07 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 13:00:19 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 13:00:31 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 13:02:45 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 13:02:45 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 13:02:46 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 13:02:47 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 13:02:56 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 13:05:23 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 13:05:25 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 13:05:36 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 13:05:36 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 13:05:38 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 13:05:38 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 18:27:55 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 18:27:55 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 18:27:57 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 18:27:58 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 18:28:02 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 18:28:03 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 18:38:38 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 18:39:39 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 18:39:44 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 18:39:46 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 18:51:13 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 18:51:13 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 18:51:18 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 18:51:21 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 18:51:23 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 18:51:24 | User ID: O001 | Operation: Access | Details: User accessed to adding new patient fields the database file
2024-11-28 18:51:26 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 18:51:28 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 18:51:29 | User ID: O001 | Operation: Access | Details: User accessed the searching page
2024-11-28 18:51:32 | User ID: O001 | Operation: Access | Details: User accessed the searching page
2024-11-28 18:51:33 | User ID: O001 | Operation: Access | Details: User accessed the searching page
2024-11-28 18:51:34 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 18:52:51 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 18:53:59 | User ID: O001 | Operation: Access | Details: User logged in delete page successfully
2024-11-28 18:53:59 | User ID: O001 | Operation: DeletePatient | Details: Deleted patient profile with Patient ID: P061
2024-11-28 18:54:09 | User ID: O001 | Operation: Access | Details: User logged in delete page successfully
2024-11-28 18:54:09 | User ID: O001 | Operation: DeletePatient | Details: Deleted patient profile with Patient ID: 
2024-11-28 19:02:09 | User ID: O001 | Operation: Access | Details: User accessed to adding new patient fields the database file
2024-11-28 19:02:10 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:02:11 | User ID: O001 | Operation: Access | Details: User accessed to adding new patient fields the database file
2024-11-28 19:02:12 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:02:12 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 19:04:48 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 19:04:53 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:04:55 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 19:04:56 | User ID: O001 | Operation: Access | Details: User accessed the searching page
2024-11-28 19:04:59 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 19:05:01 | User ID: O001 | Operation: Access | Details: User accessed the searching page
2024-11-28 19:05:03 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 19:05:04 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:05:04 | User ID: O001 | Operation: Access | Details: User accessed to adding new patient fields the database file
2024-11-28 19:06:46 | User ID: O001 | Operation: Access | Details: User accessed to adding new patient fields the database file
2024-11-28 19:06:48 | User ID: O001 | Operation: Access | Details: User accessed to adding new patient fields the database file
2024-11-28 19:10:23 | User ID: O001 | Operation: Access | Details: User accessed to adding new patient fields the database file
2024-11-28 19:10:31 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:10:33 | User ID: O001 | Operation: Access | Details: User accessed to adding new patient fields the database file
2024-11-28 19:10:57 | User ID: O001 | Operation: Access | Details: User accessed to adding new patient fields the database file
2024-11-28 19:11:46 | User ID: O001 | Operation: Access | Details: User accessed to adding new patient fields the database file
2024-11-28 19:11:54 | User ID: O001 | Operation: Access | Details: User accessed to adding new patient fields the database file
2024-11-28 19:11:57 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:17:44 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:17:46 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 19:18:13 | User ID: O001 | Operation: Access | Details: User accessed the database file
2024-11-28 19:20:11 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:20:58 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:20:59 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 19:21:14 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 19:22:34 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:22:35 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 19:22:38 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 19:22:51 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:22:52 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 19:26:05 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:26:07 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:26:47 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:27:45 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:27:47 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 19:28:28 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:28:30 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 19:30:26 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:30:42 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:30:48 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:31:54 | User ID: O001 | Operation: Access | Details: User accessed the patient details page
2024-11-28 19:32:12 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:32:40 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-28 19:32:40 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 19:32:42 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:32:52 | User ID: O001 | Operation: Access | Details: User accessed to adding new patient fields the database file
2024-11-28 19:32:58 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-28 19:32:59 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 19:33:22 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-28 19:33:53 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-29 06:13:15 | User ID: O001 | Operation: Login | Details: User logged in successfully
2024-11-29 06:13:15 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-29 06:13:26 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-29 06:13:28 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-29 06:13:30 | User ID: O001 | Operation: Access | Details: User logged in successfully
2024-11-29 06:13:32 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-29 06:13:34 | User ID: O001 | Operation: Access | Details: User accessed to adding new patient fields the database file
2024-11-29 06:13:37 | User ID: O001 | Operation: Access | Details: User accessed patient informationg selected page
2024-11-29 06:13:40 | User ID: O001 | Operation: Access | Details: User accessed to adding new patient fields the database file
